experiment,training_scale,feature_set,model,macro_f1,macro_auc
phase16_large_baseline,joined_tcga_metabric,marker_mrna,logistic_elasticnet,0.8829830400792288,0.9899253160553472
phase16_large_baseline,joined_tcga_metabric,marker_mrna,sklearn_mlp,0.8822886341977517,0.9940278553047184
phase15_joined_liquid,joined_tcga_metabric,joined_marker_multimodal_expression_last,multi__liquid_cfc,0.880559544739823,0.9933032532891912
phase15_joined_liquid,joined_tcga_metabric,joined_marker_mrna,mrna__mlp,0.8803288015592313,0.994532994800377
phase15_joined_liquid,joined_tcga_metabric,joined_marker_multimodal_expression_last,multi__small_liquid_cfc,0.873297669375083,0.9927020150751428
phase15_joined_liquid,joined_tcga_metabric,joined_marker_mrna,mrna__small_liquid_cfc,0.8675867378160458,0.9942068091294098
phase15_joined_liquid,joined_tcga_metabric,joined_marker_mrna,mrna__logistic,0.8627364715973661,0.9878250724971884
phase16_large_baseline,joined_tcga_metabric,marker_mrna,logistic_l2,0.8627364715973661,0.9878250724971884
phase15_joined_liquid,joined_tcga_metabric,joined_marker_mrna,mrna__liquid_cfc,0.8583911780221521,0.9901474613417652
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,sklearn_mlp,0.8559233861382362,0.993978241485046
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,logistic_elasticnet,0.8508657503005491,0.9910585822214728
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,hist_gradient_boosting,0.8443173701015749,0.986860372439252
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,logistic_l2,0.8312366479084815,0.9896249903732132
phase16_large_baseline,joined_tcga_metabric,marker_mrna,extra_trees,0.8247143099823896,0.9879717424473266
phase16_large_baseline,joined_tcga_metabric,marker_mrna,random_forest,0.8215873682211511,0.9881266767836986
phase15_joined_liquid,joined_tcga_metabric,joined_marker_multimodal_expression_last,multi__mlp,0.8187765508347491,0.9820633577688832
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,gaussian_nb,0.8183552131417077,0.9813909956367348
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,lda_shrinkage,0.8086921500896093,0.9860357155788324
phase16_large_baseline,joined_tcga_metabric,marker_mrna,gaussian_nb,0.8074802390591863,0.9816209319657424
phase16_large_baseline,joined_tcga_metabric,marker_mrna,hist_gradient_boosting,0.8036800927267459,0.9847887045536996
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,extra_trees,0.792317785443386,0.9904985933436304
phase15_joined_liquid,joined_tcga_metabric,joined_marker_multimodal_expression_last,multi__logistic,0.7829773424975824,0.9709619693253556
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,ridge_classifier,0.7731173476402818,0.9725327657132288
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,random_forest,0.76583888413814,0.9901812644007216
phase16_large_baseline,joined_tcga_metabric,marker_mrna,lda_shrinkage,0.7457646950855782,0.985642939185024
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,linear_svm_calibrated,0.7346723157710908,0.9753952766754572
phase16_large_baseline,joined_tcga_metabric,marker_mrna,linear_svm_calibrated,0.7277568252181256,0.9660105342487212
phase16_large_baseline,joined_tcga_metabric,marker_mrna,ridge_classifier,0.7256263482691253,0.9651269415609566
phase16_large_baseline,expanded_tcga_metabric_scanb_smc,marker_mrna,knn_distance,0.6674012872046907,0.9768148262619072
phase16_large_baseline,joined_tcga_metabric,marker_mrna,knn_distance,0.6512413136573031,0.9737084916704688
