training_scale,seed,model,model_group,split,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
joined_tcga_metabric,42,logistic_l2,linear,train,2326,0.8938091143594153,0.92770570104734,0.8900923690012291,0.9897411915289899
joined_tcga_metabric,42,logistic_l2,linear,valid,411,0.8418491484184915,0.8485930171964565,0.8181332915038604,0.9762454038389972
joined_tcga_metabric,42,logistic_l2,linear,cptac_external,122,0.9180327868852459,0.8977444625763191,0.8627364715973662,0.9878250724971884
joined_tcga_metabric,42,logistic_elasticnet,linear,train,2326,0.883920894239037,0.9174384551817504,0.8766573258981889,0.9890627001019571
joined_tcga_metabric,42,logistic_elasticnet,linear,valid,411,0.8491484184914841,0.8638321050150127,0.827072453550629,0.9779091812023332
joined_tcga_metabric,42,logistic_elasticnet,linear,cptac_external,122,0.9344262295081968,0.9130179403884966,0.8829830400792288,0.9899253160553471
joined_tcga_metabric,42,ridge_classifier,linear,train,2326,0.7704213241616509,0.8236700800717275,0.7624749417975716,0.9622034027587751
joined_tcga_metabric,42,ridge_classifier,linear,valid,411,0.7615571776155717,0.8115010298022284,0.7529825115887062,0.9464423224977001
joined_tcga_metabric,42,ridge_classifier,linear,cptac_external,122,0.8032786885245902,0.802928009679371,0.7256263482691254,0.9651269415609567
joined_tcga_metabric,42,linear_svm_calibrated,linear_svm,train,2326,0.8658641444539983,0.7722632829104187,0.802059216129377,0.9831335448739944
joined_tcga_metabric,42,linear_svm_calibrated,linear_svm,valid,411,0.8661800486618005,0.7766882552916946,0.8025539029542955,0.968904029816548
joined_tcga_metabric,42,linear_svm_calibrated,linear_svm,cptac_external,122,0.9098360655737705,0.7400148444132644,0.7277568252181256,0.9660105342487212
joined_tcga_metabric,42,lda_shrinkage,linear_discriminant,train,2326,0.852536543422184,0.796857604952085,0.8133142465620802,0.9745253392266496
joined_tcga_metabric,42,lda_shrinkage,linear_discriminant,valid,411,0.8491484184914841,0.8130286111317899,0.8205817983134841,0.9671836594045615
joined_tcga_metabric,42,lda_shrinkage,linear_discriminant,cptac_external,122,0.8688524590163934,0.7589622128343171,0.7457646950855781,0.9856429391850241
joined_tcga_metabric,42,gaussian_nb,probabilistic,train,2326,0.7953568357695615,0.790681492811065,0.773650775346698,0.9574077769984527
joined_tcga_metabric,42,gaussian_nb,probabilistic,valid,411,0.7907542579075426,0.7912904373144081,0.7666760760953812,0.9576134116770693
joined_tcga_metabric,42,gaussian_nb,probabilistic,cptac_external,122,0.8688524590163934,0.865914888641482,0.8074802390591864,0.9816209319657423
joined_tcga_metabric,42,knn_distance,instance_based,train,2326,1.0,1.0,1.0,1.0
joined_tcga_metabric,42,knn_distance,instance_based,valid,411,0.8223844282238443,0.7072703210170641,0.7403671076251721,0.9567449368692632
joined_tcga_metabric,42,knn_distance,instance_based,cptac_external,122,0.8360655737704918,0.6323043918111709,0.6512413136573031,0.9737084916704687
joined_tcga_metabric,42,random_forest,tree_ensemble,train,2326,0.999140154772141,0.9996074582924436,0.9994538859961256,0.9999996008402313
joined_tcga_metabric,42,random_forest,tree_ensemble,valid,411,0.8613138686131386,0.7937311099531005,0.8153176834717408,0.9773717648958591
joined_tcga_metabric,42,random_forest,tree_ensemble,cptac_external,122,0.9016393442622951,0.7904556523153726,0.8215873682211511,0.9880788520178004
joined_tcga_metabric,42,extra_trees,tree_ensemble,train,2326,1.0,1.0,1.0,1.0
joined_tcga_metabric,42,extra_trees,tree_ensemble,valid,411,0.8613138686131386,0.7927708710720696,0.8133370219652079,0.9776728605565083
joined_tcga_metabric,42,extra_trees,tree_ensemble,cptac_external,122,0.9016393442622951,0.8352028143380764,0.8552360631308,0.987096609320098
joined_tcga_metabric,42,hist_gradient_boosting,boosting,train,2326,1.0,1.0,1.0,1.0
joined_tcga_metabric,42,hist_gradient_boosting,boosting,valid,411,0.8734793187347932,0.8424779771210205,0.8428519512205164,0.9849752692452546
joined_tcga_metabric,42,hist_gradient_boosting,boosting,cptac_external,122,0.8934426229508197,0.786946880385548,0.8036800927267459,0.9847887045536996
joined_tcga_metabric,42,sklearn_mlp,static_nn,train,2326,0.9049871023215821,0.8839884627361814,0.8874370662491188,0.9885565778447225
joined_tcga_metabric,42,sklearn_mlp,static_nn,valid,411,0.8613138686131386,0.848116826720266,0.8421157129845772,0.9803284473904149
joined_tcga_metabric,42,sklearn_mlp,static_nn,cptac_external,122,0.9262295081967213,0.8514640556767171,0.8647496764438294,0.993655057212622
expanded_tcga_metabric_scanb_smc,42,logistic_l2,linear,train,5135,0.8876338851022395,0.9162635888042974,0.8756977125455426,0.9905116377464587
expanded_tcga_metabric_scanb_smc,42,logistic_l2,linear,valid,907,0.8478500551267916,0.850939775409849,0.8173709037993276,0.9772514399374332
expanded_tcga_metabric_scanb_smc,42,logistic_l2,linear,cptac_external,122,0.9180327868852459,0.8213742266416549,0.8246971892205158,0.9872720885147317
expanded_tcga_metabric_scanb_smc,42,logistic_elasticnet,linear,train,5135,0.8886075949367088,0.9177934394074574,0.8769757636400903,0.990387568048377
expanded_tcga_metabric_scanb_smc,42,logistic_elasticnet,linear,valid,907,0.8478500551267916,0.8529233058980523,0.817941924356497,0.9782729866068541
expanded_tcga_metabric_scanb_smc,42,logistic_elasticnet,linear,cptac_external,122,0.9180327868852459,0.8247620064359682,0.8265021889762771,0.9892175900141235
expanded_tcga_metabric_scanb_smc,42,ridge_classifier,linear,train,5135,0.7777994157740993,0.8273516564319017,0.769330031537154,0.9636882053061404
expanded_tcga_metabric_scanb_smc,42,ridge_classifier,linear,valid,907,0.7585446527012127,0.7993313838014574,0.7419591647080996,0.9537392785260629
expanded_tcga_metabric_scanb_smc,42,ridge_classifier,linear,cptac_external,122,0.8442622950819673,0.8487071634461406,0.7792993334033884,0.9725269642903098
expanded_tcga_metabric_scanb_smc,42,linear_svm_calibrated,linear_svm,train,5135,0.8839337877312561,0.8077528119063648,0.8361865950264677,0.9846675483665528
expanded_tcga_metabric_scanb_smc,42,linear_svm_calibrated,linear_svm,valid,907,0.86438809261301,0.7937196382195388,0.8182647776828101,0.9729229384184341
