training_scale,split,subtype_label,n
joined_tcga_metabric,train,LumA,1019
joined_tcga_metabric,train,LumB,571
joined_tcga_metabric,train,Basal,323
joined_tcga_metabric,train,Her2,257
joined_tcga_metabric,train,Normal,156
joined_tcga_metabric,valid,LumA,180
joined_tcga_metabric,valid,LumB,101
joined_tcga_metabric,valid,Basal,57
joined_tcga_metabric,valid,Her2,45
joined_tcga_metabric,valid,Normal,28
expanded_tcga_metabric_scanb_smc,train,LumA,2426
expanded_tcga_metabric_scanb_smc,train,LumB,1211
expanded_tcga_metabric_scanb_smc,train,Basal,624
expanded_tcga_metabric_scanb_smc,train,Her2,533
expanded_tcga_metabric_scanb_smc,train,Normal,341
expanded_tcga_metabric_scanb_smc,valid,LumA,429
expanded_tcga_metabric_scanb_smc,valid,LumB,214
expanded_tcga_metabric_scanb_smc,valid,Basal,110
expanded_tcga_metabric_scanb_smc,valid,Her2,94
expanded_tcga_metabric_scanb_smc,valid,Normal,60
