task,fold,model,model_group,noise_sigma,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
UCEC_molecular_subtype,1,logistic_elasticnet,linear,0.0,51,0.8823529411764706,0.8693977591036415,0.8828282828282829,0.9899791520334623
UCEC_molecular_subtype,1,logistic_elasticnet,linear,0.05,51,0.8823529411764706,0.8693977591036415,0.8828282828282829,0.9895161890704993
UCEC_molecular_subtype,1,logistic_elasticnet,linear,0.1,51,0.8823529411764706,0.8693977591036415,0.8828282828282829,0.9886207001559792
UCEC_molecular_subtype,1,logistic_elasticnet,linear,0.2,51,0.8823529411764706,0.8693977591036415,0.8828282828282829,0.9877448737611217
UCEC_molecular_subtype,1,logistic_elasticnet,linear,0.3,51,0.8823529411764706,0.8693977591036415,0.8828282828282829,0.9825324620758651
UCEC_molecular_subtype,1,logistic_elasticnet,linear,0.5,51,0.9215686274509803,0.9007703081232492,0.9154656486250414,0.989435652528025
UCEC_molecular_subtype,1,random_forest,tree_ensemble,0.0,51,0.9411764705882353,0.9154761904761906,0.9324074074074075,0.9890892375321441
UCEC_molecular_subtype,1,random_forest,tree_ensemble,0.05,51,0.9607843137254902,0.9654761904761905,0.9682311621966795,0.9881436490865556
UCEC_molecular_subtype,1,random_forest,tree_ensemble,0.1,51,0.9411764705882353,0.9154761904761906,0.9324074074074075,0.9886351625971003
UCEC_molecular_subtype,1,random_forest,tree_ensemble,0.2,51,0.9215686274509803,0.8654761904761905,0.8901583034647551,0.9839573199002265
UCEC_molecular_subtype,1,random_forest,tree_ensemble,0.3,51,0.8627450980392157,0.7797619047619048,0.8052913533834587,0.9845078209697586
UCEC_molecular_subtype,1,random_forest,tree_ensemble,0.5,51,0.7647058823529411,0.7559523809523809,0.7668279895140149,0.9830903815332881
UCEC_molecular_subtype,1,extra_trees,tree_ensemble,0.0,51,0.9607843137254902,0.9654761904761905,0.9522499212154385,0.9966216216216216
UCEC_molecular_subtype,1,extra_trees,tree_ensemble,0.05,51,0.9607843137254902,0.9654761904761905,0.9682311621966795,0.9956563706563707
UCEC_molecular_subtype,1,extra_trees,tree_ensemble,0.1,51,0.9607843137254902,0.9654761904761905,0.9522499212154385,0.9952238447048136
UCEC_molecular_subtype,1,extra_trees,tree_ensemble,0.2,51,0.9607843137254902,0.9654761904761905,0.9522499212154385,0.9947412192221881
UCEC_molecular_subtype,1,extra_trees,tree_ensemble,0.3,51,0.9607843137254902,0.9654761904761905,0.9682311621966795,0.9947412192221881
UCEC_molecular_subtype,1,extra_trees,tree_ensemble,0.5,51,0.9411764705882353,0.9476190476190476,0.9518782708437882,0.9942585937395626
UCEC_molecular_subtype,1,hist_gradient_boosting,boosting,0.0,51,0.9215686274509803,0.9007703081232492,0.9154656486250414,0.9896486266295954
UCEC_molecular_subtype,1,hist_gradient_boosting,boosting,0.05,51,0.8823529411764706,0.8662464985994398,0.8826932923707117,0.9863381663272592
UCEC_molecular_subtype,1,hist_gradient_boosting,boosting,0.1,51,0.9019607843137255,0.8829131652661064,0.9003128815628816,0.9831601435840189
UCEC_molecular_subtype,1,hist_gradient_boosting,boosting,0.2,51,0.9019607843137255,0.8841036414565826,0.8996031746031746,0.979973275301995
UCEC_molecular_subtype,1,hist_gradient_boosting,boosting,0.3,51,0.8627450980392157,0.8162464985994398,0.8414186507936507,0.9752028288792995
UCEC_molecular_subtype,1,hist_gradient_boosting,boosting,0.5,51,0.803921568627451,0.7948179271708684,0.8137178233952428,0.9657323970040232
UCEC_molecular_subtype,1,mlp_early_fusion,static_nn,0.0,51,0.9411764705882353,0.9488095238095238,0.9362674362674364,0.9971936716746406
UCEC_molecular_subtype,1,mlp_early_fusion,static_nn,0.05,51,0.9411764705882353,0.9488095238095238,0.9362674362674364,0.9971936716746406
UCEC_molecular_subtype,1,mlp_early_fusion,static_nn,0.1,51,0.9411764705882353,0.9488095238095238,0.9362674362674364,0.9971936716746406
UCEC_molecular_subtype,1,mlp_early_fusion,static_nn,0.2,51,0.9607843137254902,0.9654761904761905,0.9522499212154385,0.9976566346376035
UCEC_molecular_subtype,1,mlp_early_fusion,static_nn,0.3,51,0.9411764705882353,0.9488095238095238,0.9362674362674364,0.9951807892269755
UCEC_molecular_subtype,1,mlp_early_fusion,static_nn,0.5,51,0.9411764705882353,0.9488095238095238,0.9344155844155844,0.9942155382617244
UCEC_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.0,51,0.9215686274509803,0.9321428571428572,0.9177489177489178,0.9930181169800547
