task,model,clean_f1,f1_at_sigma_0_20,f1_at_sigma_0_50,first_5pct_drop_sigma,elbow_sigma
COADREAD_molecular_subtype,extra_trees,0.8676464419323919,0.8404831731085691,0.6821437437934305,0.3,0.3
COADREAD_molecular_subtype,hist_gradient_boosting,0.8235681867790225,0.7611086681487154,0.6969601564671988,0.1,0.3
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,0.8422185057936613,0.8611208977040627,0.847667363749989,,0.2
COADREAD_molecular_subtype,logistic_elasticnet,0.845258440616794,0.8320892810848276,0.8366712594106106,,0.2
COADREAD_molecular_subtype,mlp_early_fusion,0.8596200413824157,0.850937876040488,0.8708506267088356,,0.2
COADREAD_molecular_subtype,random_forest,0.8300167808731397,0.7204011317945038,0.5860025930469122,0.2,0.1
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,0.8627974980116477,0.8563496698741832,0.8278226565864488,,0.3
HNSC_HPV_status,extra_trees,0.9247749512151134,0.9100147385952269,0.8140258834283317,0.5,0.2
HNSC_HPV_status,hist_gradient_boosting,0.9309576735246962,0.9287269630586916,0.8949736277819611,,0.2
HNSC_HPV_status,liquid_cfc_modality_sequence,0.8793765140262666,0.8793933743358359,0.8684816077971748,,0.3
HNSC_HPV_status,logistic_elasticnet,0.9468769996336925,0.9433432304104581,0.9344609409815499,,0.1
HNSC_HPV_status,mlp_early_fusion,0.8530186429006914,0.8530842843530605,0.853375679326929,,0.3
HNSC_HPV_status,random_forest,0.9046199124554235,0.8647854280689684,0.6772420118177006,0.3,0.2
HNSC_HPV_status,small_liquid_cfc_modality_sequence,0.8746602613055291,0.869754202026072,0.8643044487404028,,0.1
KIRC_grade_binary,extra_trees,0.6661723580117023,0.6296999985812003,0.5166053119236873,0.2,0.3
KIRC_grade_binary,hist_gradient_boosting,0.652881065586887,0.6522985189821047,0.6460543925659837,0.3,0.3
KIRC_grade_binary,liquid_cfc_modality_sequence,0.6452828289540089,0.6472433164189606,0.6615126266260365,,0.3
KIRC_grade_binary,logistic_elasticnet,0.6392356828109781,0.626833042877758,0.6414142088245989,,0.3
KIRC_grade_binary,mlp_early_fusion,0.6382349970193186,0.6364730640503271,0.6316082130720201,,0.3
KIRC_grade_binary,random_forest,0.6783909214260851,0.5823072709742277,0.4213625410257656,0.1,0.05
KIRC_grade_binary,small_liquid_cfc_modality_sequence,0.6500511752583051,0.6559190690805913,0.6333546511783497,,0.3
PRAD_pathologic_T_stage,extra_trees,0.6782109905197392,0.5607338989605589,0.381207400194742,0.2,0.3
PRAD_pathologic_T_stage,hist_gradient_boosting,0.6818051704343653,0.5791790750413129,0.48376289965152386,0.05,0.1
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,0.6742293020059387,0.6781143576746079,0.656353859426962,,0.2
PRAD_pathologic_T_stage,logistic_elasticnet,0.6307993040978872,0.6157443174477908,0.6476136343339397,,0.2
PRAD_pathologic_T_stage,mlp_early_fusion,0.6662185286336493,0.6522253318980729,0.6871801454099412,,0.2
PRAD_pathologic_T_stage,random_forest,0.683906720277633,0.381207400194742,0.381207400194742,0.05,0.2
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,0.6722281186214205,0.6825597739784349,0.6553245753159197,,0.2
UCEC_molecular_subtype,extra_trees,0.8943962384880357,0.8978099401160768,0.869703870558953,,0.3
UCEC_molecular_subtype,hist_gradient_boosting,0.8735420200532744,0.8606125820420871,0.7977703844182783,0.5,0.3
UCEC_molecular_subtype,liquid_cfc_modality_sequence,0.8885102220653461,0.8855610226655465,0.8626792287009521,,0.2
UCEC_molecular_subtype,logistic_elasticnet,0.8890644647140998,0.8885703895863672,0.8944352997290184,,0.1
UCEC_molecular_subtype,mlp_early_fusion,0.8798213891921607,0.8764336894953676,0.8737016534547083,,0.1
UCEC_molecular_subtype,random_forest,0.8875151453830787,0.874875726839919,0.7581083083861008,0.5,0.3
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,0.8721544926919977,0.8825158687758063,0.8749513912384627,,0.3
