task,model,model_group,noise_sigma,folds,f1_macro_mean,f1_macro_sd,roc_auc_ovr_macro_mean
COADREAD_molecular_subtype,extra_trees,tree_ensemble,0.0,10,0.8676464419323919,0.0693477331548751,0.9554414949694555
COADREAD_molecular_subtype,extra_trees,tree_ensemble,0.05,10,0.8660099275346834,0.07450431822810116,0.9551053992912546
COADREAD_molecular_subtype,extra_trees,tree_ensemble,0.1,10,0.8567093310055874,0.0823930096074846,0.954924835641941
COADREAD_molecular_subtype,extra_trees,tree_ensemble,0.2,10,0.8404831731085691,0.08063762344157273,0.952974215660071
COADREAD_molecular_subtype,extra_trees,tree_ensemble,0.3,10,0.8194337892490828,0.07073714779825666,0.955085156802262
COADREAD_molecular_subtype,extra_trees,tree_ensemble,0.5,10,0.6821437437934305,0.0748227452448622,0.9570086812553917
COADREAD_molecular_subtype,hist_gradient_boosting,boosting,0.0,10,0.8235681867790225,0.08590292764878607,0.959588489057239
COADREAD_molecular_subtype,hist_gradient_boosting,boosting,0.05,10,0.8004937359536755,0.08757700874262986,0.954816563066563
COADREAD_molecular_subtype,hist_gradient_boosting,boosting,0.1,10,0.780013331644573,0.11214561044502008,0.9496054454804455
COADREAD_molecular_subtype,hist_gradient_boosting,boosting,0.2,10,0.7611086681487154,0.08792917059921344,0.9488452878140379
COADREAD_molecular_subtype,hist_gradient_boosting,boosting,0.3,10,0.7197840328658743,0.07855369511562568,0.9522731448011055
COADREAD_molecular_subtype,hist_gradient_boosting,boosting,0.5,10,0.6969601564671988,0.08887964179930384,0.9444542402650956
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.0,10,0.8422185057936613,0.07806906057629553,0.9572638888888889
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.05,10,0.8406211561187303,0.07940092365490721,0.9557689393939395
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.1,10,0.8446002016268496,0.07618442792631859,0.9575199106449107
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.2,10,0.8611208977040627,0.05608473748364497,0.9591411227661227
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.3,10,0.8423604215305035,0.07776867429414756,0.9567464954027454
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.5,10,0.847667363749989,0.0846007361797369,0.9528715439652939
COADREAD_molecular_subtype,logistic_elasticnet,linear,0.0,10,0.845258440616794,0.03848955714324007,0.9555793026418027
COADREAD_molecular_subtype,logistic_elasticnet,linear,0.05,10,0.845258440616794,0.03848955714324007,0.95580298983424
